id,costoTotal,estado
ba45b548-9c85-447a-bf29-b666dd8ce5f8,10.0,enviado
4141c6be-cedd-4882-baa1-f136ef2c4b98,10.0,enviado
b669228c-88b8-44f0-882a-f9b981ade1b3,10.0,enviado
4c531432-f402-47dd-997e-bfbaad8b838b,10.0,enviado
47649806-a008-441a-8683-51383efb36b5,10.0,enviado
b6e3b752-70d3-4669-95ae-204cc6a733d3,10.0,enviado
29d70eba-13ee-4b79-b6e7-7aebbaabc02e,10.0,enviado
db3ec9b1-b295-4ea0-b9ea-70e59aeaf043,10.0,enviado
ce6ec49b-8575-454f-9f21-5ee58931696e,10.0,enviado
4531729e-9466-469a-ba7f-39470a8f77f3,10.0,enviado
,10.0,enviado
,10.0,enviado
,10.0,enviado
1,10.0,enviado
1,10.0,enviado
1,10.0,enviado
1,10.0,enviado
